secret,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,Checked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,Checked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,zyd,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,abu,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,Checked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1,
be4ae47094a8466fc8b29d9fcb2678e9ac5c73e4246b9af8edc53a63f1694d8c,1,8/26/2021 11:10 AM,8/26/2021 11:12 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1,
548775931d1f2b8cd4db008d420fcbcbf18aeba7c0e3f11b73cb00a3463e3757,1,8/26/2021 11:37 AM,8/26/2021 11:47 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1,
548775931d1f2b8cd4db008d420fcbcbf18aeba7c0e3f11b73cb00a3463e3757,1,8/26/2021 11:37 AM,8/26/2021 11:47 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1,
